alcohol	citric acid	volatile acidity:pH:residual sugar	quality
9.4		0.7:3.51:1.9	low
	0.0	0.88:3.2:2.6	low
9.8	0.04	0.76:3.26:2.3	low
9.8	0.56	0.28:3.16:1.9	medium
9.4	0.0	nan:3.51:nan	low
9.4	0.0	0.66:3.51:nan	low
9.4		0.6:3.3:1.6	low
10.0	0.0	0.65:3.39:1.2	high
9.5		nan:3.36:nan	high
10.5	0.36	0.5:3.35:6.1	low
9.2	0.08	0.58:3.28:nan	low
10.5	0.36	0.5:nan:6.1	low
9.9	0.0	0.615:nan:1.6	low
9.1	0.29	0.61:3.26:nan	low
9.2		0.62:3.16:3.8	low
9.2	0.19	0.62:3.17:nan	low
	0.56	0.28:3.3:1.8	high
9.3	0.28	0.56:3.11:1.7	low
9.0		0.59:3.38:4.4	low
9.2	0.51	0.32:3.04:1.8	medium
9.4	0.48	0.22:3.39:1.8	medium
9.7	0.31	nan:3.52:2.3	low
9.5		0.43:3.17:1.6	low
9.4		nan:3.17:2.3	low
9.7	0.14	0.4:3.43:2.4	medium
9.3	0.16	0.39:3.34:1.4	low
	0.24	0.41:nan:1.8	low
9.5	0.21	0.43:3.17:1.6	low
9.4		0.71:3.47:1.9	low
		nan:nan:2.0	medium
10.1		0.675:3.35:2.4	low
10.6		0.685:3.46:2.5	medium
	0.12	nan:3.17:2.3	low
	0.12	0.605:nan:10.7	medium
	0.25	nan:3.38:1.8	low
	0.0	0.645:3.4:5.5	medium
10.8		0.6:3.42:2.4	medium
9.7	0.28	0.38:3.23:2.1	high
9.8	0.09	1.13:3.5:1.5	low
10.5	0.36	0.45:3.33:5.9	low
10.5		0.45:3.33:5.9	low
	0.3	nan:3.26:2.8	low
10.5	0.2	0.49:nan:nan	medium
10.3		0.66:3.3:2.2	low
9.5	0.02	nan:3.48:1.8	low
13.1	0.15	0.52:3.9:2.1	low
9.2	0.43	0.935:3.25:2.2	low
9.5		nan:nan:1.6	low
9.2	0.23	0.4:3.34:nan	low
9.2	0.37	0.31:nan:nan	low
9.2	0.26	0.66:nan:nan	low
9.4	0.04	0.52:3.4:nan	medium
9.4	0.04	0.5:3.39:nan	medium
9.4	0.36	0.38:3.2:3.0	low
10.2	0.15	nan:3.17:2.8	medium
9.5	0.04	0.62:3.34:3.8	low
9.6		nan:3.04:3.4	low
9.4	0.12	0.63:nan:5.1	low
10.0	0.18	0.59:3.43:2.3	low
9.4	0.31	0.39:3.41:2.4	medium
	0.4	0.4:3.44:2.2	low
9.3	0.49	0.69:3.21:nan	low
9.5	0.16	0.52:3.38:1.9	high
9.8	0.05	0.735:nan:2.0	low
10.9	0.05	0.725:nan:4.65	low
10.9	0.05	0.725:3.41:4.65	low
9.6	0.11	0.52:3.42:1.5	low
10.7	0.07	nan:3.44:1.6	low
10.7		0.32:3.28:2.0	low
10.5		nan:3.34:1.9	medium
9.5	0.08	0.63:3.32:1.9	medium
	0.23	0.67:3.32:2.1	low
9.5		0.69:3.31:1.9	low
9.2	0.26	0.675:3.31:2.1	low
9.6	0.54	0.32:3.28:2.5	low
10.5	0.64	0.41:3.54:nan	low
10.5	0.64	0.41:3.54:nan	low
10.7	0.0	0.785:3.52:2.4	medium
10.1	0.12	0.75:3.38:2.0	low
9.1	0.2	0.625:3.16:1.5	low
9.2	0.2	0.45:3.41:1.6	low
9.4		0.43:3.13:1.9	low
9.1	0.47	0.5:3.36:2.0	low
	0.26	0.67:3.16:1.8	low
	0.48	0.3:3.44:1.8	medium
10.1	0.15	0.55:3.41:2.2	low
9.9	0.28	0.49:2.93:1.9	medium
9.6	0.26	0.49:3.39:1.9	low
9.5	0.44	nan:3.14:2.1	low
9.0		0.62:nan:1.8	low
	0.26	0.52:3.23:1.9	low
9.9	0.28	0.49:2.93:nan	medium
